,event_starttime,event_endtime,fl_goescls,hpc_coord,hpc_bbox,hrc_coord,hrc_bbox,hgc_coord,hgc_bbox,event_coordsys,hgs_coord,hgs_bbox,event_peaktime,active,ar_noaaclass,ar_noaanum,boundbox_c1ur,boundbox_c2ur,boundbox_c1ll,boundbox_c2ll,hpc_y,hpc_x,hgs_y,hgs_x,hpc_radius,event_c2error
857,2010-04-06 03:53:00,2010-04-06 04:02:00,B1.5,POINT(0 104.9454),"POLYGON((16.81296 121.6278,16.81296 121.6278,16.81296 121.6278,16.81296 121.6278,16.81296 121.6278))",POINT(0.109318125 0),"POLYGON((0.1279 352.129716,0.1279 352.129716,0.1279 352.129716,0.1279 352.129716,0.1279 352.129716))",POINT(-140.75923 0),,UTC-HGS-TOPO,POINT(0 0),,2010-04-06 04:02:00,true,,0,1.0,1.0,-1.0,-1.0,104.9454,0.0,0.0,0.0,104.945400000000006,0.0
858,2010-04-06 03:53:00,2010-04-06 04:10:00,B1.5,POINT(0 104.8704),"POLYGON((0.000084 -953.154,-0.000084 -953.154,0 952.194,0 952.194,0.000084 -953.154))",POINT(0.10942509482759 0),"POLYGON((0.994551 180.000005,0.994551 179.999995,0.993549 0,0.993549 0,0.994551 180.000005))",POINT(-140.75923 0),"POLYGON((129.34077 -89.9,-50.85923 -89.9,-50.85923 89.9,129.34077 89.9,129.34077 -89.9))",UTC-HGS-TOPO,POINT(0 0),"POLYGON((-89.9 -89.9,89.9 -89.9,89.9 89.9,-89.9 89.9,-89.9 -89.9))",2010-04-06 04:02:00,true,,11060,90.0,90.0,-90.0,-90.0,104.8704,0.0,0.0,0.0,104.870400000000004,90.0
859,2010-04-08 02:30:00,2010-04-08 03:50:00,B3.7,POINT(0 102.7074),"POLYGON((0.000084 -952.83,-0.000084 -952.83,0 951.888,0 951.888,0.000084 -952.83))",POINT(0.107229135775912 0),"POLYGON((0.994779 180.000005,0.994779 179.999995,0.993795 0,0.993795 0,0.994779 180.000005))",POINT(-166.39278 0),"POLYGON((103.70722 -89.9,-76.49278 -89.9,-76.49278 89.9,103.70722 89.9,103.70722 -89.9))",UTC-HGS-TOPO,POINT(0 0),"POLYGON((-89.9 -89.9,89.9 -89.9,89.9 89.9,-89.9 89.9,-89.9 -89.9))",2010-04-08 03:25:00,true,,11060,90.0,90.0,-90.0,-90.0,102.7074,0.0,0.0,0.0,102.707399999999993,90.0
860,2010-04-08 02:30:00,2010-04-08 03:50:00,B3.7,POINT(-231.9222 550.059),"POLYGON((16.80336 119.4576,16.80336 119.4576,16.80336 119.4576,16.80336 119.4576,16.80336 119.4576))",POINT(0.621825977211596 22.8618204330192),"POLYGON((0.12566 351.993091,0.12566 351.993091,0.12566 351.993091,0.12566 351.993091,0.12566 351.993091))",POINT(177.60722 29),,UTC-HGS-TOPO,POINT(-16.0000000000002 29),,2010-04-08 03:25:00,true,,1060,-15.0,30.0,-17.0,28.0,550.059,-231.9222,29.0,-16.0000000000002,596.952938123132071,0.0
861,2010-04-09 04:44:00,2010-04-09 05:02:00,B3.7,POINT(-15.32808 481.455),"POLYGON((-23.07954 474.1668,-7.69398 474.1956,-7.6341 488.6994,-22.89996 488.6706,-23.07954 474.1668))",POINT(0.503066254795193 1.82350946188132),"POLYGON((0.495786 2.786609,0.495295 0.929561,0.51044 0.894959,0.510907 2.683018,0.495786 2.786609))",POINT(178.1807 24),"POLYGON((177.6807 23.5,178.6807 23.5,178.6807 24.5,177.6807 24.5,177.6807 23.5))",UTC-HGS-TOPO,POINT(-1 24),"POLYGON((-1.5 23.5,-0.5 23.5,-0.5 24.5,-1.5 24.5,-1.5 23.5))",2010-04-09 04:55:00,true,,11060,-0.5,24.5,-1.5,23.5,481.455,-15.32808,24.0,-1.0,481.698938198421217,1.0
862,2010-04-09 20:18:00,2010-04-09 20:23:00,B1.0,POINT(0 100.6746),"POLYGON((0.000084 -952.548,-0.000084 -952.548,0 951.624,0 951.624,0.000084 -952.548))",POINT(0.105160160370117 0),"POLYGON((0.994989 180.000005,0.994989 179.999995,0.994024 0,0.994024 0,0.994989 180.000005))",POINT(170.61965 0),"POLYGON((80.71965 -89.9,-99.48035 -89.9,-99.48035 89.9,80.71965 89.9,80.71965 -89.9))",UTC-HGS-TOPO,POINT(0 0),"POLYGON((-89.9 -89.9,89.9 -89.9,89.9 89.9,-89.9 89.9,-89.9 -89.9))",2010-04-09 20:21:00,true,,0,90.0,90.0,-90.0,-90.0,100.6746,0.0,0.0,0.0,100.674599999999998,90.0
863,2010-04-09 20:32:00,2010-04-09 20:40:00,B1.0,POINT(0 100.6626),"POLYGON((0.000084 -952.548,-0.000084 -952.548,0 951.624,0 951.624,0.000084 -952.548))",POINT(0.105147922258229 0),"POLYGON((0.994992 180.000005,0.994992 179.999995,0.994026 0,0.994026 0,0.994992 180.000005))",POINT(170.49133 0),"POLYGON((80.59133 -89.9,-99.60867 -89.9,-99.60867 89.9,80.59133 89.9,80.59133 -89.9))",UTC-HGS-TOPO,POINT(0 0),"POLYGON((-89.9 -89.9,89.9 -89.9,89.9 89.9,-89.9 89.9,-89.9 -89.9))",2010-04-09 20:35:00,true,,0,90.0,90.0,-90.0,-90.0,100.6626,0.0,0.0,0.0,100.662599999999998,90.0
864,2010-04-13 04:39:00,2010-04-13 04:49:00,B3.7,POINT(0 96.5292),"POLYGON((0.000084 -952.032,-0.000084 -952.032,0 951.144,0 951.144,0.000084 -952.032))",POINT(0.100926959015515 0),"POLYGON((0.995405 180.000005,0.995405 179.999995,0.994477 0,0.994477 0,0.995405 180.000005))",POINT(126.42491 0),"POLYGON((36.52491 -89.9,-143.67509 -89.9,-143.67509 89.9,36.52491 89.9,36.52491 -89.9))",UTC-HGS-TOPO,POINT(0 0),"POLYGON((-89.9 -89.9,89.9 -89.9,89.9 89.9,-89.9 89.9,-89.9 -89.9))",2010-04-13 04:43:00,true,,11062,90.0,90.0,-90.0,-90.0,96.5292,0.0,0.0,0.0,96.5291999999999888,90.0
865,2010-04-13 04:39:00,2010-04-13 04:49:00,B3.7,POINT(127.9608 -188.2098),"POLYGON((16.77864 113.2638,16.77864 113.2638,16.77864 113.2638,16.77864 113.2638,16.77864 113.2638))",POINT(0.237072200494418 214.211150498798),"POLYGON((0.119271 351.573616,0.119271 351.573616,0.119271 351.573616,0.119271 351.573616,0.119271 351.573616))",POINT(134.42491 -17),,UTC-HGS-TOPO,POINT(7.99999999999998 -17),,2010-04-13 04:43:00,true,,1062,9.0,-16.0,7.0,-18.0,-188.2098,127.9608,-17.0,7.99999999999998,227.589312474641474,0.0
866,2010-04-17 04:30:00,2010-04-17 08:24:00,B2.2,POINT(-913.104 282.8316),"POLYGON((16.75998 107.9178,16.75998 107.9178,16.75998 107.9178,16.75998 107.9178,16.75998 107.9178))",POINT(0.995733426808633 72.7897681840938),"POLYGON((0.113762 351.172303,0.113762 351.172303,0.113762 351.172303,0.113762 351.172303,0.113762 351.172303))",POINT(-13.3072130000003 17),,UTC-HGS-TOPO,POINT(-87 17),,2010-04-17 05:57:00,true,,0,-86.0,18.0,-88.0,16.0,282.8316,-913.104,17.0,-87.0,955.904089736287347,0.0
867,2010-04-17 04:37:00,2010-04-17 07:12:00,B2.1,POINT(-913.104 282.831),"POLYGON((16.75992 107.9112,16.75992 107.9112,16.75992 107.9112,16.75992 107.9112,16.75992 107.9112))",POINT(0.995733241884663 72.7898025371649),"POLYGON((0.113755 351.171803,0.113755 351.171803,0.113755 351.171803,0.113755 351.171803,0.113755 351.171803))",POINT(-13.3714050000002 17),,UTC-HGS-TOPO,POINT(-87 17),,2010-04-17 05:57:00,true,,0,-86.0,18.0,-88.0,16.0,282.831,-913.104,17.0,-87.0,955.903912209276427,0.0
868,2010-04-17 04:37:00,2010-04-17 07:12:00,B2.1,POINT(0 91.188),"POLYGON((0.000084 -951.456,-0.000084 -951.456,0 950.622,0 950.622,0.000084 -951.456))",POINT(0.095448686177955 0),"POLYGON((0.995912 180.000005,0.995912 179.999995,0.995039 0,0.995039 0,0.995912 180.000005))",POINT(73.628593 0),"POLYGON((-16.271405 -89.9,163.528595 -89.9,163.528595 89.9,-16.271405 89.9,-16.271405 -89.9))",UTC-HGS-TOPO,POINT(0 0),"POLYGON((-89.9 -89.9,89.9 -89.9,89.9 89.9,-89.9 89.9,-89.9 -89.9))",2010-04-17 05:57:00,true,,0,90.0,90.0,-90.0,-90.0,91.188,0.0,0.0,0.0,91.1880000000000024,90.0
869,2010-04-17 21:34:00,2010-04-18 04:16:00,B1.3,POINT(0 90.2028),"POLYGON((0.000084 -951.36,-0.000084 -951.36,0 950.532,0 950.532,0.000084 -951.36))",POINT(0.094435657361805 0),"POLYGON((0.996004 180.000005,0.996004 179.999995,0.995137 0,0.995137 0,0.996004 180.000005))",POINT(64.302157 0),"POLYGON((-25.597842 -89.9,154.202158 -89.9,154.202158 89.9,-25.597842 89.9,-25.597842 -89.9))",UTC-HGS-TOPO,POINT(0 0),"POLYGON((-89.9 -89.9,89.9 -89.9,89.9 89.9,-89.9 89.9,-89.9 -89.9))",2010-04-18 02:18:00,true,,0,90.0,90.0,-90.0,-90.0,90.2028,0.0,0.0,0.0,90.2027999999999963,90.0
870,2010-04-17 21:34:00,2010-04-18 04:16:00,B1.3,POINT(-669.282 469.1226),"POLYGON((16.75668 106.9236,16.75668 106.9236,16.75668 106.9236,16.75668 106.9236,16.75668 106.9236))",POINT(0.851376546564124 54.9720747477307),"POLYGON((0.112738 351.093258,0.112738 351.093258,0.112738 351.093258,0.112738 351.093258,0.112738 351.093258))",POINT(13.302158 26),,UTC-HGS-TOPO,POINT(-50.9999999999999 26),,2010-04-18 02:18:00,true,,0,-50.0,27.0,-52.0,25.0,469.1226,-669.282,26.0,-50.9999999999999,817.321484701558575,0.0
871,2010-04-19 15:00:00,2010-04-19 22:00:00,A4.9,POINT(908.352 -291.1836),"POLYGON((16.74888 104.4594,16.74888 104.4594,16.74888 104.4594,16.74888 104.4594,16.74888 104.4594))",POINT(0.993627288028093 252.226097271553),"POLYGON((0.110202 350.890805,0.110202 350.890805,0.110202 350.890805,0.110202 350.890805,0.110202 350.890805))",POINT(129.502507 -18),,UTC-HGS-TOPO,POINT(88 -18),,2010-04-19 21:42:00,true,,0,89.0,-17.0,87.0,-19.0,-291.1836,908.352,-18.0,88.0,953.882196506969194,0.0
